x, y, error
2, 26.771, 0.00047
3, 26.706, 0.00047
4, 26.299, 0.000472
4.176091259, 25.914, 0.000439
4.301029996, 25.326, 0.000441
4.397940009, 24.697, 0.000444
4.477121255, 24.063, 0.000447
4.544068044, 23.386, 0.000449
4.602059991, 22.498, 0.000454
4.653212514, 21.799, 0.000458
4.698970004, 21.159, 0.000462
5, 15.785, 0.000445
5.176091259, 12.504, 0.000465
5.301029996, 10.154, 0.000443
5.397940009, 8.173, 0.000454
5.477121255, 6.673, 0.000464
5.544068044, 5.277, 0.000437
5.602059991, 4.134, 0.000443
5.653212514, 3.058, 0.000448
5.698970004, 2.151, 0.000454
5.740362689, 1.319, 0.000459
5.77815125, 0.527, 0.000465
5.812913357, -0.136, 0.00047
5.84509804, -0.857, 0.000476
