x, y, error
0, -0.020106, 0.00007
0.301029996, -0.026892, 0.00013
0.477121255, -0.029217, 0.00008
0.77815125, -0.025786, 0.00008
1, -0.037196, 0.00013
1.255272505, -0.056549, 0.00023
1.505149978, -0.09651, 0.00041
1.748188027, -0.163262, 0.00072
2, -0.281487, 0.00255
2.255272505, -0.479533, 0.00232
2.505149978, -0.743929, 0.0021
2.748188027, -0.971129, 0.00364
3, -1.275487, 0.00644
3.255272505, -1.443122, 0.0047
3.505149978, -1.556219, 0.00421
3.748188027, -1.505954, 0.00722
4, -1.533097, 0.00648
